Nama Barang;Satuan;Harga
Acco Besi No. 0946 Merk Sdi;Pak;31500
Acco Plastik Merk Acco;Pak;13500
Acco Plastik Merk Joyko;Pak;8500
Acco Plastik Merk Vtec;Pak;8500
Air Mineral 200ml Gelas @48 Merk Vit;Dus;23000
Air Mineral 330ml Botol Merk Vit;Dus;33000
Air Mineral Botol 1500ml Merk Aqua;Dus;58000
Air Mineral Botol 330ml Merk Aqua;Dus;41000
Air Mineral Botol 600ml Merk Aqua;Dus;52000
Air Mineral Gelas 200/ 220ml Merk Aqua;Dus;35000
Air Minum Le Mineral 330ml;Dus;48000
Alkohol 70% 100 ml;Pcs;8500
Alumunium Foil (Jumbo) 8m x 45cm - Klinpak;Pcs;47500
Amplop (Putih) uk. Folio - Neuro;Pak;65000
Amplop Coklat (Kraft) F4 Merk Airmail;Pak;57000
Amplop Coklat 1/2 Folio - Brio;Pak;28500
Amplop Coklat 1/2 Folio - Garda;Pak;37500
Amplop Coklat 1/2 Folio - Neuro;Pak;28500
Amplop Coklat 1/2 Folio - WPS;Pak;28500
Amplop Coklat A3 - Brio;Pak;70000
Amplop Coklat A3 - Neuro;Pak;75000
Amplop Coklat A3 - Neuro (Ada Lem);Pak;84000
Amplop Coklat A3 - WPS;Pak;75000
Amplop Coklat A4 - Brio;Pak;31000
Amplop Coklat A4 - Garda;Pak;40000
Amplop Coklat A4 - Neuro;Pak;35000
Amplop Coklat A4 - Neuro (Ada Lem);Pak;42000
Amplop Coklat A4 Merk WPS;Pak;35000
Amplop Coklat Cabinet - Brio;Pak;14500
Amplop Coklat Cabinet - Garda;Pak;19000
Amplop Coklat Cabinet - Neuro;Pak;15000
Amplop Coklat Cabinet - Neuro (Ada Lem);Pak;21000
Amplop Coklat Cabinet Merk WPS;Pak;15000
Amplop Coklat Double Folio - Garda;Pak;104000
Amplop Coklat F4 Tali Merk Neuro;Pcs;880
Amplop Coklat Folio - Brio;Pak;31500
Amplop Coklat Folio - Brio (Ada Lem);Pak;45000
Amplop Coklat Folio - Garda;Pak;41000
